slug;name;letter;category;teaser;body;example;synonyms;related;source
foundation-model-grundlagenmodell;Foundation Model (Grundlagenmodell);F;KI-Grundlagen;Großes, breit vortrainiertes Basismodell, das als Fundament für viele nachgelagerte Anwendungen angepasst werden kann.;"Foundation Models sind große, vortrainierte KI-Modelle, die auf riesigen Datensätzen trainiert wurden und als Grundlage für viele verschiedene Aufgaben dienen. Training in zwei Phasen: Vortraining auf breiten Datensätzen → Fine-Tuning für spezifische Aufgaben. Beispiele: GPT, BERT, CLIP.

Vorteile: Wiederverwendbarkeit (ein Modell für viele Aufgaben), Skalierbarkeit, reduzierter Datenbedarf beim Fine-Tuning, universelle Fähigkeiten. Foundation Models haben die KI-Entwicklung demokratisiert, da teure Grundlagentrainings nur einmal durchgeführt werden müssen.

Anwendungsbereiche: Sprachverarbeitung (Chatbots), Bild- und Videoverarbeitung, multimodale Anwendungen, medizinische Diagnostik, wissenschaftliche Forschung.";Ein Unternehmen nutzt ein allgemeines Foundation Model und passt es per Prompt und Firmenwissen an seinen Kundenservice an.;"[""Foundation Model"",""Grundlagenmodell"",""Basismodell"",""Basis-Modell""]";"[""large-language-model-grosses-sprachmodell"",""pre-training-vortraining"",""fine-tuning"",""generative-ki"",""transformer""]";https://ki-manager-methoden.lovable.app/glossar
validierungspflicht;Validierungspflicht;V;Management & Strategie;Grundsatz, dass jeder KI-Output vor Verwendung menschlich überprüft werden muss, besonders bei großer Tragweite.;Grundsatz, dass jeder KI-Output vor Verwendung menschlich überprüft werden muss, besonders bei großer Tragweite.;Bevor ein KI-generierter Vertragstext verschickt wird, prüft ein Mitarbeiter ihn juristisch auf Fehler.;"[""Prüfpflicht"",""Validierungsgebot"",""Verification obligation"",""Überprüfungspflicht""]";"[""human-in-the-loop-hitl"",""halluzination"",""vier-augen-prinzip"",""menschliche-aufsicht""]";
gamma;Gamma;G;Tools & Anwendungen;KI-Tool zur Erstellung von Präsentationen, Dokumenten und Webseiten, das per API mit Claude verbunden werden kann und mit einem Credit-Modell arbeitet.;KI-Tool zur Erstellung von Präsentationen, Dokumenten und Webseiten, das per API mit Claude verbunden werden kann und mit einem Credit-Modell arbeitet.;Der KI-Manager bereitet die Gliederung in Claude vor und lässt Gamma daraus eine fertige Präsentation mit Layout und Bildern generieren.;"[""Gamma.app"",""Gamma AI"",""Gamma-Tool""]";"[""claude"",""canva"",""beautiful-ai"",""api-schnittstelle"",""flux-2-pro-black-forest-labs""]";
garbage-in-garbage-out;Garbage in, Garbage out;G;Technik & Daten;Prinzip, dass schlechte Eingangsdaten oder Prompts zwangsläufig schlechte KI-Ergebnisse erzeugen, unabhängig von der Modellgüte.;Prinzip, dass schlechte Eingangsdaten oder Prompts zwangsläufig schlechte KI-Ergebnisse erzeugen, unabhängig von der Modellgüte.;Ein Prognosemodell liefert unbrauchbare Ergebnisse, weil die Verkaufsdaten lückenhaft und fehlerhaft erfasst wurden.;"[""Garbage in, garbage out"",""GIGO"",""Müll rein, Müll raus"",""Garbage-in-Garbage-out""]";"[""datenqualitaet"",""data-governance"",""trainingsdaten"",""daten-audit-repraesentativitaetspruefung"",""fehlende-datenspur""]";
gemini;Gemini;G;Tools & Anwendungen;KI-Modellfamilie von Google, im Kurs als eines der Standard-Sprachmodelle referenziert.;KI-Modellfamilie von Google, im Kurs als eines der Standard-Sprachmodelle referenziert.;Ein Teilnehmer vergleicht dieselbe Analyseaufgabe in Gemini, ChatGPT und Claude, um Unterschiede in den Antworten zu bewerten.;"[""Google Gemini"",""Gemini-Modell"",""Google Gemini AI""]";"[""chatgpt-business"",""claude"",""large-language-model-grosses-sprachmodell"",""multimodale-modelle"",""generative-ki""]";
generative-ki;Generative KI;G;KI-Grundlagen;KI-Kategorie, die auf Basis eines Inputs wahrscheinlichkeitsbasiert neue Inhalte wie Text, Bild, Audio, Video oder Code erzeugt, statt nur zu analysieren.;"Generative KI ist eine Technologie, die mithilfe von KI-Algorithmen neue Inhalte erzeugt: Texte, Bilder, Video, Code, Audio oder Designs. Im Gegensatz zu klassischer KI (die analysiert) kreiert generative KI etwas Neues. Bekannte Beispiele: ChatGPT, DALL·E, Midjourney, GitHub Copilot.

Technologien: GANs (Generative Adversarial Networks – zwei Netzwerke arbeiten gegeneinander), Transformer-Modelle (GPT-Architektur für Text), Diffusionsmodelle (für Bilder). Training auf Millionen von Beispielen, dann Generierung auf Basis von Vorgaben.

Anwendungsbereiche: Kunst und Design, Content-Erstellung (Marketing, Blog), Gaming, Film und Animation, Wissenschaft (Moleküldesign), Architektur und Produktdesign. Vorteile: Zeitersparnis, Kreativität ohne Grenzen, Personalisierung. Herausforderungen: AI Slop, Copyright-Fragen, Deepfakes.";Mit ChatGPT lässt ein Team aus wenigen Stichworten einen vollständigen Entwurf für einen Newsletter erzeugen.;"[""Generative KI (GenAI)"",""Generative KI"",""GenAI"",""Generative AI"",""generative künstliche Intelligenz""]";"[""kuenstliche-intelligenz-ki"",""large-language-model-grosses-sprachmodell"",""predictive-ai-prozess-ki"",""wahrscheinlichkeitsbasierte-vorhersage"",""foundation-model-grundlagenmodell""]";https://ki-manager-methoden.lovable.app/glossar
gewichte-gewichtung;Gewichte / Gewichtung;G;Technik & Daten;Interne Parameter eines Modells, die bestimmen, wie stark einzelne Eingaben die Ausgabe beeinflussen.;Interne Parameter eines Modells, die bestimmen, wie stark einzelne Eingaben die Ausgabe beeinflussen.;Beim Nachtraining eines Modells werden dessen Gewichte so verschoben, dass es firmenspezifische Begriffe zuverlässiger erkennt.;"[""Gewichte"",""Gewichtung"",""Weights"",""Modellgewichte""]";"[""neuronales-netzwerk"",""gradient-descent-gradientenabstieg"",""hyperparameter"",""fine-tuning"",""back-propagation-rueckpropagierung""]";
github-copilot;GitHub Copilot;G;Tools & Anwendungen;KI-Codeassistent, der Programmcode auf Basis der wahrscheinlichen nächsten Zeile vervollständigt und professionelle Softwareentwicklung unterstützt.;KI-Codeassistent, der Programmcode auf Basis der wahrscheinlichen nächsten Zeile vervollständigt und professionelle Softwareentwicklung unterstützt.;Ein Entwickler nutzt GitHub Copilot in seiner Entwicklungsumgebung, um wiederkehrende Codeteile automatisch vorschlagen zu lassen.;"[""GitHub Copilot / Cursor / Claude Code"",""Copilot"",""GitHub-Copilot"",""KI-Coding-Assistent""]";"[""vibe-coding"",""programmierunterstuetzung"",""debugging"",""claude"",""microsoft-copilot""]";
glossar-als-vereinheitlichung;Glossar als Vereinheitlichung;G;Methoden & Frameworks;Hinterlegte Datei mit festen Begriffen und Übersetzungen, um uneinheitliche Bezeichnungen und Fehlübersetzungen der KI zu vermeiden.;Hinterlegte Datei mit festen Begriffen und Übersetzungen, um uneinheitliche Bezeichnungen und Fehlübersetzungen der KI zu vermeiden.;Ein Unternehmen hinterlegt der KI ein Glossar mit den korrekten deutschen Fachbegriffen, damit technische Handbücher einheitlich übersetzt werden.;"[""Glossar zur Vereinheitlichung"",""Terminologie-Glossar"",""Begriffsglossar für KI""]";"[""styleguide"",""kontext-im-prompt"",""lokalisierung"",""single-source-of-truth"",""prompt-bibliothek""]";
google-veo;Google Veo;G;Tools & Anwendungen;Videogenerierungssystem von Google, das bei der Abbildung realer Personen restriktiv ist.;Videogenerierungssystem von Google, das bei der Abbildung realer Personen restriktiv ist.;Für ein Erklärvideo erzeugt ein Team mit Google Veo generische Szenen, weil das Tool die Darstellung einer bekannten realen Person verweigert.;"[""Veo"",""Google Veo 3"",""Veo-Modell""]";"[""sora"",""kling"",""deepfake"",""higgsfield"",""synthesia""]";
gpt-image;GPT Image;G;Tools & Anwendungen;Aktuelles Bildmodell von OpenAI, das DALL-E abgelöst hat und aktuell besonders gut Bilder mit lesbarem Text erzeugt.;Aktuelles Bildmodell von OpenAI, das DALL-E abgelöst hat und aktuell besonders gut Bilder mit lesbarem Text erzeugt.;Für eine Infografik mit Beschriftungen nutzt ein Teilnehmer GPT Image, weil es die Textelemente sauber lesbar darstellt.;"[""GPT-Image"",""GPT Image 1"",""OpenAI GPT Image"",""GPT-Bildmodell""]";"[""dall-e"",""midjourney"",""flux"",""chatgpt-business"",""diffusionsmodell""]";
gpu-grafikprozessor;GPU (Grafikprozessor);G;Technik & Daten;Hochparalleler Prozessor, der ursprünglich für Grafik entwickelt wurde und heute KI-Training und -Inferenz stark beschleunigt.;"Eine GPU (Graphics Processing Unit) ist ein spezialisierter Mikroprozessor, der ursprünglich für die Grafikverarbeitung entwickelt wurde, sich aber zur wichtigsten Hardware für KI-Training etabliert hat. Im Gegensatz zur CPU mit wenigen leistungsstarken Kernen verfügt eine GPU über Tausende kleiner, paralleler Rechenkerne.

Warum GPUs für KI: neuronale Netzwerke erfordern Millionen paralleler Berechnungen (Matrizenmultiplikation), GPUs sind hierfür bis zu 1000× schneller als CPUs. Wichtige GPU-Hersteller: NVIDIA (A100, H100 mit Tensor-Kernen), AMD. Frameworks: CUDA, ROCm.

Anwendungen in der KI: Training großer Modelle, Echtzeitanwendungen (autonomes Fahren, Spracherkennung), Generative KI (GAN, Diffusion). Skalierbarkeit: mehrere GPUs können im Cluster kombiniert werden.";Für das Training eines eigenen Modells mietet ein Unternehmen leistungsstarke GPUs in der Cloud statt eigene Hardware zu kaufen.;"[""GPU"",""Grafikprozessor"",""Graphics Processing Unit"",""Grafikkarte""]";"[""tpu"",""inference-inferenz"",""maschinelles-lernen"",""deep-learning"",""on-premise""]";https://ki-manager-methoden.lovable.app/glossar
gradient-descent-gradientenabstieg;Gradient Descent (Gradientenabstieg);G;Technik & Daten;Optimierungsverfahren, das die Modellparameter schrittweise in Richtung des kleinsten Fehlers anpasst.;"Gradient Descent (Gradientenabstieg) ist ein Optimierungsverfahren, das KI-Modelle dabei unterstützt, ihre Fehler schrittweise zu reduzieren. Analog zum Wandern bergab zu einem Tal sucht der Algorithmus den „tiefsten Punkt"" einer mathematischen Fehlerfläche, wo der Modellfehler minimal ist.

Funktionsweise: Ziel setzen (Fehler messen via Loss Function) → Gradient berechnen (Richtung der größten Verbesserung) → kleinen Schritt in diese Richtung gehen → Wiederholen bis Konvergenz. Wichtige Varianten: Stochastic Gradient Descent (SGD), Mini-Batch GD, Adam-Optimizer.

Bedeutung: Gradient Descent ist der Kern des Trainings fast aller modernen KI-Modelle. Die Lernrate (Schrittgröße) ist ein kritischer Hyperparameter – zu groß kann zu Instabilität führen, zu klein zu sehr langsamem Training.";Während des Trainings passt der Gradientenabstieg die Gewichte in vielen kleinen Schritten an, bis die Vorhersagefehler minimal sind.;"[""Gradient Descent"",""Gradientenabstieg"",""Gradientenverfahren"",""Gradient Descent Verfahren""]";"[""loss-function-verlustfunktion"",""back-propagation-rueckpropagierung"",""gewichte-gewichtung"",""neuronales-netzwerk"",""hyperparameter""]";https://ki-manager-methoden.lovable.app/glossar
guardrails;Guardrails;G;KI-Grundlagen;Guardrails sind Sicherheitsmechanismen, die verhindern, dass KI-Systeme unerwünschte, fehlerhafte oder schädliche Ergebnisse liefern. Sie sorgen dafür, dass ...;"Guardrails sind Sicherheitsmechanismen, die verhindern, dass KI-Systeme unerwünschte, fehlerhafte oder schädliche Ergebnisse liefern. Sie sorgen dafür, dass die KI innerhalb festgelegter Grenzen arbeitet. Beispiel: Ein Sprachassistent gibt keine unangemessenen Antworten auf provozierende Fragen.

Arten von Guardrails: eingeschränkter Datenzugriff, Einschränkung von Ausgaben (keine gefährlichen Inhalte), menschliche Überwachung vor Veröffentlichung, automatische Fehlererkennung. Anwendungsbeispiele: Inhaltsmoderation auf sozialen Plattformen, medizinische KI-Systeme, autonomes Fahren.

Warum wichtig: Sicherheit gewährleisten, Vertrauen stärken, ethische Standards wahren, gesetzliche Anforderungen erfüllen (EU AI Act). Guardrails sind ein zentrales Element verantwortungsvoller KI-Entwicklung und werden im Zuge des EU AI Act immer verpflichtender.";;[];[];
guardrails-leitplanken;Guardrails / Leitplanken;G;Technik & Daten;Technische und organisatorische Vorgaben, die das Verhalten von KI-Systemen begrenzen und unerwünschte oder unsichere Ausgaben verhindern.;Technische und organisatorische Vorgaben, die das Verhalten von KI-Systemen begrenzen und unerwünschte oder unsichere Ausgaben verhindern.;Ein Kundenservice-Bot erhält die Leitplanke, keine verbindlichen Rechts- oder Medizinauskünfte zu erteilen und solche Anfragen an Menschen zu übergeben.;"[""Guardrails"",""Leitplanken"",""Guard Rails"",""Schutzplanken""]";"[""system-prompt"",""exception-handling"",""menschliche-aufsicht"",""compliance"",""alignment-ausrichtung""]";https://ki-manager-methoden.lovable.app/glossar
halluzination;Halluzination;H;KI-Grundlagen;Plausibel klingende, aber sachlich falsche KI-Ausgabe, die entsteht, weil das Modell statistisch wahrscheinlichen Text erzeugt statt zu wissen.;"Eine Halluzination in der Künstlichen Intelligenz tritt auf, wenn ein KI-System etwas generiert, das plausibel klingt, aber nicht auf Fakten basiert oder schlichtweg falsch ist. Beispiele: Ein

Chatbot behauptet, die Erde habe 10 Monde; eine generative KI erstellt ein Bild mit einer Person mit drei Händen.

Ursachen: fehlerhafte oder unvollständige Trainingsdaten, probabilistische Textgenerierung (das Modell wählt das wahrscheinlichste nächste Wort, nicht das korrekteste), fehlende Faktenbindung, kein Echtzeitwissen. KI-Modelle haben kein Bewusstsein für Wahrheit.

Risiken: fehlerhafte medizinische oder rechtliche Informationen, falsche Faktendarstellung in der Öffentlichkeit, Vertrauensverlust. Gegenmaßnahmen: RAG (Retrieval Augmented Generation), bessere Trainingsdaten, RLHF, Fact-Checking-Systeme, Nutzeraufklärung.";Ein Sprachmodell nennt eine erfundene Gerichtsentscheidung mit Aktenzeichen, die es in Wirklichkeit nie gegeben hat.;"[""Halluzinationen"",""KI-Halluzination"",""Hallucination"",""Konfabulation""]";"[""retrieval-augmented-generation-rag"",""validierungspflicht"",""nicht-determinismus"",""wahrscheinlichkeitsbasierte-vorhersage"",""konfidenzwert""]";https://ki-manager-methoden.lovable.app/glossar/halluzination
heygen;HeyGen;H;Tools & Anwendungen;Avatar- und Videotool zur Erstellung und Synchronisation von Talking-Head-Videos, im Kurs für einen eigenen KI-Avatar genutzt.;Avatar- und Videotool zur Erstellung und Synchronisation von Talking-Head-Videos, im Kurs für einen eigenen KI-Avatar genutzt.;Ein Teilnehmer erstellt mit HeyGen ein mehrsprachiges Schulungsvideo, in dem sein KI-Avatar den gesprochenen Text lippensynchron vorträgt.;"[""Heygen"",""HeyGen AI"",""HeyGen-Avatar""]";"[""synthesia"",""deepfake-ki-avatar"",""elevenlabs"",""stimmenklon"",""kennzeichnungspflicht-ki-inhalte""]";
hidden-layer-verborgene-schicht;Hidden Layer (Verborgene Schicht);H;Technik & Daten;Zwischenschicht eines neuronalen Netzes zwischen Ein- und Ausgabe, die interne Merkmale und Muster verarbeitet.;"Hidden Layers (verborgene Schichten) sind Schichten künstlicher Neuronen in einem neuronalen Netzwerk, die nicht direkt mit Ein- oder Ausgabe verbunden sind. Sie liegen zwischen der Eingabeschicht (Input Layer) und der Ausgabeschicht (Output Layer) und sind für die Extraktion komplexer Merkmale aus Daten verantwortlich.

Funktionsweise: Jede Hidden Layer transformiert rohe Eingabedaten in abstraktere Repräsentationen. Flachere Schichten erkennen einfache Muster (z. B. Kanten in Bildern), tiefere Schichten komplexere Zusammenhänge (z. B. Gesichter). Anzahl und Größe der Hidden Layers bestimmen die Kapazität eines Modells.

Deep Learning verdankt seinen Namen der Tiefe dieser verborgenen Schichten. Mehr Schichten ermöglichen komplexere Muster, erhöhen aber auch den Rechenaufwand und das Risiko von Overfitting. Hidden Layers sind unverzichtbar für Bildverarbeitung, Sprachverarbeitung und alle komplexen KI-Aufgaben.";In einem Bilderkennungsnetz erkennen frühe Hidden Layer Kanten und spätere Schichten ganze Objekte wie Gesichter.;"[""Hidden Layer"",""Verborgene Schicht"",""versteckte Schicht"",""Zwischenschicht""]";"[""neuronales-netzwerk"",""deep-learning"",""forward-propagation-vorwaertspropagierung"",""gewichte-gewichtung"",""blackbox""]";https://ki-manager-methoden.lovable.app/glossar
higgsfield;Higgsfield;H;Tools & Anwendungen;Plattform, die mehrere KI-Videomodelle vereint und in der professionellen Videoproduktion eingesetzt wird.;Plattform, die mehrere KI-Videomodelle vereint und in der professionellen Videoproduktion eingesetzt wird.;Ein Produktionsteam nutzt Higgsfield, um für unterschiedliche Szenen jeweils das am besten geeignete Videomodell auszuwählen.;"[""Higgsfield AI"",""Higgsfield-Plattform""]";"[""google-veo"",""sora"",""kling"",""synthesia"",""heygen""]";
hochrisiko-ki-system;Hochrisiko-KI-System;H;Recht & Regulatorik;Risikoklasse des EU AI Act für KI, die Entscheidungen über Menschen trifft, erlaubt nur mit umfassendem Pflichtenpaket wie Konformitätsbewertung, Erklärbarkeit und menschlicher Aufsicht.;Risikoklasse des EU AI Act für KI, die Entscheidungen über Menschen trifft, erlaubt nur mit umfassendem Pflichtenpaket wie Konformitätsbewertung, Erklärbarkeit und menschlicher Aufsicht.;Ein KI-System zur automatisierten Vorauswahl von Bewerbern gilt als Hochrisiko-System und erfordert Konformitätsbewertung und menschliche Aufsicht.;"[""Hochrisiko-KI"",""Hochrisiko-System"",""High-Risk-KI"",""High-Risk AI System""]";"[""risikoklassen-vier-stufen"",""eu-ai-act-artikel-4"",""konformitaetsbewertung"",""human-in-the-loop-hitl"",""kritis-kritische-infrastruktur""]";
